field	value
raw_reads	75078
trimmed_reads	55128
length_valid_reads	54976
reads_below_Savont_quality_threshold	5086
EMU_relative_abundance_pct	0.0206602
EMU_estimated_reads	15.4921
primary_best_hits_to_Salmonella	10
primary_Salmonella_hits_passing_length_filter	10
primary_Salmonella_hits_passing_length_and_accuracy_filters	9
Savont_default_min_cluster_size	12
final_Savont_ASVs	52
final_Savont_ASVs_mapping_best_to_Salmonella	0
inferred_cause	insufficient ASV-level read support before taxonomic assignment
