sample	fraction	asv	asv_depth	total_asv_depth	relative_abundance	relative_abundance_pct	NM	mapping_category	abundance_bin
AD1_ont	0.111	final_consensus_24_depth_798	798	125002	0.006383897857634278	0.6383897857634278	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_25_depth_769	769	125002	0.006151901569574887	0.6151901569574887	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_26_depth_761	761	125002	0.006087902593558503	0.6087902593558503	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_27_depth_748	748	125002	0.0059839042575318795	0.5983904257531879	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_28_depth_703	703	125002	0.005623910017439721	0.562391001743972	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_29_depth_698	698	125002	0.005583910657429481	0.5583910657429482	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_30_depth_673	673	125002	0.005383913857378282	0.5383913857378282	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_31_depth_671	671	125002	0.0053679141133741864	0.5367914113374186	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_32_depth_661	661	125002	0.005287915393353706	0.5287915393353706	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_33_depth_641	641	125002	0.005127917953312747	0.5127917953312747	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_34_depth_640	640	125002	0.005119918081310699	0.5119918081310699	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_35_depth_623	623	125002	0.004983920257275884	0.49839202572758834	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_36_depth_611	611	125002	0.004887921793251308	0.4887921793251308	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_37_depth_595	595	125002	0.00475992384121854	0.4759923841218541	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_38_depth_594	594	125002	0.0047519239692164926	0.4751923969216493	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_39_depth_594	594	125002	0.0047519239692164926	0.4751923969216493	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_40_depth_498	498	125002	0.0039839362570198876	0.3983936257019888	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_41_depth_497	497	125002	0.00397593638501784	0.397593638501784	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_42_depth_495	495	125002	0.003959936641013744	0.3959936641013744	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_43_depth_483	483	125002	0.003863938176989168	0.38639381769891684	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_44_depth_481	481	125002	0.0038479384329850722	0.38479384329850724	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_45_depth_478	478	125002	0.0038239388169789283	0.38239388169789285	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_46_depth_475	475	125002	0.0037999392009727844	0.37999392009727845	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_47_depth_455	455	125002	0.003639941760931825	0.3639941760931825	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_48_depth_437	437	125002	0.0034959440648949618	0.3495944064894962	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_49_depth_417	417	125002	0.0033359466248540025	0.3335946624854002	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_50_depth_402	402	125002	0.003215948544823283	0.3215948544823283	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_51_depth_387	387	125002	0.0030959504647925635	0.30959504647925634	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_52_depth_360	360	125002	0.0028799539207372683	0.2879953920737268	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_53_depth_357	357	125002	0.0028559543047311244	0.2855954304731124	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_54_depth_353	353	125002	0.0028239548167229324	0.2823954816722932	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_55_depth_329	329	125002	0.002631957888673781	0.2631957888673781	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_56_depth_321	321	125002	0.0025679589126573975	0.25679589126573976	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_57_depth_315	315	125002	0.0025199596806451097	0.25199596806451097	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_58_depth_312	312	125002	0.002495960064638966	0.24959600646389657	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_59_depth_309	309	125002	0.002471960448632822	0.2471960448632822	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_60_depth_307	307	125002	0.002455960704628726	0.2455960704628726	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_61_depth_300	300	125002	0.00239996160061439	0.239996160061439	0	NM_0	0.1-<1%
