sample	fraction	abundance_bin	asv_observations	perfect_n	NM_1_n	NM_ge_2_n	unmapped_n	pooled_perfect_pct	pooled_wilson_95_ci_low_pct	pooled_wilson_95_ci_high_pct	subsamples_with_asvs	mean_subsample_perfect_pct	median_subsample_perfect_pct	min_subsample_perfect_pct	max_subsample_perfect_pct
WWTP1_ont	0.0370	0.05-<0.1%	49	49	0	0	0	100.0000	92.7302	100.0000	1	100.0000	100.0000	100.0000	100.0000
WWTP1_ont	0.0370	0.1-<1%	258	257	1	0	0	99.6124	97.8375	99.9315	1	99.6124	99.6124	99.6124	99.6124
WWTP1_ont	0.0370	>=1%	15	15	0	0	0	100.0000	79.6117	100.0000	1	100.0000	100.0000	100.0000	100.0000
WWTP1_ont	0.1110	<0.02%	22	19	0	3	0	86.3636	66.6650	95.2510	1	86.3636	86.3636	86.3636	86.3636
WWTP1_ont	0.1110	0.02-<0.05%	277	267	3	7	0	96.3899	93.4833	98.0274	1	96.3899	96.3899	96.3899	96.3899
WWTP1_ont	0.1110	0.05-<0.1%	250	245	1	4	0	98.0000	95.4044	99.1428	1	98.0000	98.0000	98.0000	98.0000
WWTP1_ont	0.1110	0.1-<1%	239	236	2	1	0	98.7448	96.3752	99.5722	1	98.7448	98.7448	98.7448	98.7448
WWTP1_ont	0.1110	>=1%	7	7	0	0	0	100.0000	64.5670	100.0000	1	100.0000	100.0000	100.0000	100.0000
Zfecal1_ont	0.0040	0.1-<1%	2	2	0	0	0	100.0000	34.2380	100.0000	1	100.0000	100.0000	100.0000	100.0000
Zfecal1_ont	0.0040	>=1%	24	23	1	0	0	95.8333	79.7582	99.2607	1	95.8333	95.8333	95.8333	95.8333
Zfecal1_ont	0.0120	0.1-<1%	92	91	1	0	0	98.9130	94.0972	99.8079	1	98.9130	98.9130	98.9130	98.9130
Zfecal1_ont	0.0120	>=1%	26	24	1	1	0	92.3077	75.8584	97.8645	1	92.3077	92.3077	92.3077	92.3077
Zfecal1_ont	0.0370	0.05-<0.1%	42	42	0	0	0	100.0000	91.6201	100.0000	1	100.0000	100.0000	100.0000	100.0000
Zfecal1_ont	0.0370	0.1-<1%	237	234	3	0	0	98.7342	96.3451	99.5686	1	98.7342	98.7342	98.7342	98.7342
Zfecal1_ont	0.0370	>=1%	13	13	0	0	0	100.0000	77.1905	100.0000	1	100.0000	100.0000	100.0000	100.0000
Zfecal1_ont	0.1110	<0.02%	4	4	0	0	0	100.0000	51.0109	100.0000	1	100.0000	100.0000	100.0000	100.0000
Zfecal1_ont	0.1110	0.02-<0.05%	115	114	1	0	0	99.1304	95.2383	99.8463	1	99.1304	99.1304	99.1304	99.1304
Zfecal1_ont	0.1110	0.05-<0.1%	157	155	1	1	0	98.7261	95.4748	99.6500	1	98.7261	98.7261	98.7261	98.7261
Zfecal1_ont	0.1110	0.1-<1%	266	255	10	1	0	95.8647	92.7480	97.6755	1	95.8647	95.8647	95.8647	95.8647
Zfecal1_ont	0.1110	>=1%	7	7	0	0	0	100.0000	64.5670	100.0000	1	100.0000	100.0000	100.0000	100.0000
