#OTU ID	Read
Zotu65	23
Zotu113	11
Zotu112	26
Zotu120	24
Zotu58	33
Zotu89	16
Zotu88	23
Zotu31	39
Zotu446	15
Zotu946	3
Zotu1	256
Zotu34	54
Zotu82	12
Zotu438	3
Zotu410	8
Zotu41	39
Zotu11	64
Zotu205	16
Zotu14	48
Zotu152	12
Zotu710	2
Zotu83	25
Zotu3	181
Zotu12	58
Zotu4	134
Zotu743	2
Zotu135	22
Zotu189	6
Zotu2	229
Zotu437	6
Zotu28	48
Zotu892	3
Zotu207	13
Zotu111	13
Zotu29	42
Zotu1240	1
Zotu335	9
Zotu18	40
Zotu624	6
Zotu240	13
Zotu6	91
Zotu160	14
Zotu301	4
Zotu273	7
Zotu92	30
Zotu1138	3
Zotu224	9
Zotu26	52
Zotu284	12
Zotu836	2
Zotu425	6
Zotu44	33
Zotu1306	4
Zotu35	46
Zotu71	33
Zotu206	10
Zotu126	15
Zotu39	30
Zotu1185	5
Zotu96	20
Zotu22	52
Zotu9	78
Zotu1125	1
Zotu116	17
Zotu84	30
Zotu472	4
Zotu524	6
Zotu647	4
Zotu406	6
Zotu227	10
Zotu427	8
Zotu514	6
Zotu404	8
Zotu457	6
Zotu8	100
Zotu43	35
Zotu360	11
Zotu59	25
Zotu93	24
Zotu213	18
Zotu356	4
Zotu308	12
Zotu668	3
Zotu575	6
Zotu777	1
Zotu36	41
Zotu45	30
Zotu394	4
Zotu811	2
Zotu1027	2
Zotu33	33
Zotu183	18
Zotu895	5
Zotu98	10
Zotu174	8
Zotu32	29
Zotu239	11
Zotu16	60
Zotu138	14
Zotu373	9
Zotu17	49
Zotu19	45
Zotu1265	2
Zotu806	2
Zotu754	8
Zotu399	8
Zotu115	19
Zotu717	1
Zotu488	4
Zotu975	1
Zotu242	12
Zotu312	4
Zotu786	2
Zotu431	12
Zotu99	25
Zotu367	5
Zotu24	48
Zotu21	36
Zotu294	5
Zotu269	9
Zotu1200	3
Zotu695	1
Zotu759	2
Zotu1025	1
Zotu230	18
Zotu904	1
Zotu25	31
Zotu1363	6
Zotu1598	5
Zotu1003	2
Zotu10	66
Zotu736	3
Zotu331	9
Zotu223	18
Zotu393	12
Zotu611	2
Zotu325	10
Zotu245	4
Zotu798	6
Zotu75	20
Zotu148	18
Zotu225	10
Zotu151	17
Zotu340	4
Zotu708	4
Zotu162	12
Zotu326	8
Zotu730	1
Zotu439	4
Zotu398	14
Zotu315	9
Zotu7	91
Zotu774	1
Zotu49	27
Zotu149	24
Zotu141	7
Zotu389	4
Zotu107	11
Zotu73	37
Zotu46	33
Zotu229	11
Zotu163	6
Zotu322	12
Zotu38	40
Zotu633	3
Zotu574	4
Zotu145	14
Zotu125	13
Zotu5	134
Zotu343	9
Zotu985	4
Zotu1327	3
Zotu276	9
Zotu495	6
Zotu351	9
Zotu268	12
Zotu805	8
Zotu943	5
Zotu740	5
Zotu607	5
Zotu69	24
Zotu1237	1
Zotu1431	4
Zotu109	14
Zotu576	5
Zotu926	4
Zotu182	7
Zotu78	20
Zotu278	5
Zotu15	57
Zotu349	10
Zotu119	13
Zotu1246	5
Zotu56	30
Zotu292	17
Zotu336	13
Zotu1359	3
Zotu426	5
Zotu558	6
Zotu443	8
Zotu1055	1
Zotu130	15
Zotu144	13
Zotu76	19
Zotu527	5
Zotu1175	2
Zotu342	9
Zotu283	10
Zotu831	10
Zotu1066	3
Zotu646	2
Zotu247	17
Zotu181	11
Zotu448	6
Zotu295	10
Zotu565	5
Zotu197	15
Zotu291	10
Zotu104	20
Zotu523	4
Zotu62	28
Zotu204	9
Zotu106	20
Zotu55	24
Zotu541	6
Zotu525	2
Zotu95	16
Zotu549	6
Zotu1239	2
Zotu1592	1
Zotu100	21
Zotu263	5
Zotu1396	1
Zotu559	10
Zotu371	6
Zotu493	3
Zotu445	4
Zotu142	17
Zotu210	12
Zotu328	6
Zotu132	16
Zotu952	3
Zotu30	39
Zotu77	16
Zotu1051	4
Zotu513	3
Zotu414	8
Zotu802	5
Zotu857	2
Zotu1442	2
Zotu249	11
Zotu85	22
Zotu298	7
Zotu597	3
Zotu20	36
Zotu214	12
Zotu593	7
Zotu511	5
Zotu860	3
Zotu27	36
Zotu150	18
Zotu139	15
Zotu769	1
Zotu532	4
Zotu403	7
Zotu319	8
Zotu411	8
Zotu48	38
Zotu820	4
Zotu775	2
Zotu388	5
Zotu1602	2
Zotu90	26
Zotu253	12
Zotu1611	1
Zotu776	4
Zotu618	6
Zotu1184	1
Zotu396	11
Zotu724	2
Zotu652	5
Zotu606	2
Zotu327	12
Zotu79	24
Zotu735	2
Zotu64	29
Zotu1407	1
Zotu634	5
Zotu40	41
Zotu474	7
Zotu259	10
Zotu1339	1
Zotu1444	1
Zotu81	19
Zotu361	3
Zotu675	9
Zotu408	8
Zotu755	7
Zotu202	10
Zotu1364	3
Zotu37	33
Zotu602	6
Zotu118	27
Zotu252	4
Zotu487	14
Zotu1411	3
Zotu1165	2
Zotu573	4
Zotu176	24
Zotu1288	1
Zotu63	20
Zotu590	3
Zotu462	4
Zotu656	3
Zotu616	4
Zotu179	13
Zotu97	18
Zotu1635	1
Zotu339	11
Zotu799	1
Zotu553	5
Zotu515	5
Zotu117	18
Zotu932	2
Zotu143	21
Zotu129	16
Zotu165	18
Zotu1375	3
Zotu159	10
Zotu366	9
Zotu494	4
Zotu234	10
Zotu47	21
Zotu1250	3
Zotu122	19
Zotu484	8
Zotu1064	1
Zotu157	16
Zotu167	10
Zotu1086	2
Zotu50	29
Zotu156	19
Zotu552	5
Zotu485	3
Zotu642	4
Zotu264	13
Zotu994	2
Zotu108	12
Zotu330	7
Zotu80	18
Zotu217	11
Zotu1150	1
Zotu134	29
Zotu1403	5
Zotu333	9
Zotu352	10
Zotu70	30
Zotu61	29
Zotu246	9
Zotu1232	1
Zotu219	16
Zotu262	13
Zotu274	6
Zotu166	16
Zotu57	25
Zotu354	7
Zotu395	9
Zotu417	5
Zotu101	22
Zotu856	1
Zotu168	12
Zotu42	30
Zotu999	1
Zotu137	16
Zotu566	6
Zotu316	15
Zotu538	5
Zotu1156	2
Zotu60	21
Zotu201	11
Zotu238	15
Zotu721	3
Zotu875	3
Zotu286	8
Zotu172	17
Zotu226	8
Zotu180	7
Zotu380	7
Zotu52	18
Zotu127	19
Zotu499	4
Zotu489	4
Zotu598	4
Zotu529	3
Zotu509	10
Zotu1300	4
Zotu254	10
Zotu203	10
Zotu570	7
Zotu1542	2
Zotu818	1
Zotu1582	1
Zotu501	8
Zotu453	4
Zotu1099	1
Zotu434	3
Zotu449	5
Zotu1548	2
Zotu290	7
Zotu475	3
Zotu314	12
Zotu297	12
Zotu1072	6
Zotu679	3
Zotu53	35
Zotu1021	2
Zotu447	7
Zotu178	8
Zotu198	14
Zotu534	4
Zotu317	12
Zotu1252	1
Zotu188	20
Zotu390	4
Zotu455	5
Zotu767	3
Zotu362	12
Zotu703	5
Zotu900	1
Zotu595	4
Zotu665	4
Zotu1075	1
Zotu571	9
Zotu781	3
Zotu1309	3
Zotu54	17
Zotu551	4
Zotu400	4
Zotu621	7
Zotu243	4
Zotu622	8
Zotu369	13
Zotu520	6
Zotu732	1
Zotu1459	1
Zotu68	33
Zotu744	6
Zotu791	6
Zotu579	1
Zotu879	3
Zotu1427	5
Zotu233	15
Zotu376	5
Zotu208	5
Zotu199	5
Zotu531	2
Zotu477	6
Zotu212	5
Zotu903	3
Zotu363	4
Zotu1131	2
Zotu51	24
Zotu1118	2
Zotu1251	2
Zotu599	4
Zotu1290	4
Zotu190	16
Zotu1178	2
Zotu778	2
Zotu128	9
Zotu967	2
Zotu1098	1
Zotu300	11
Zotu476	1
Zotu123	9
Zotu991	1
Zotu897	2
Zotu66	16
Zotu131	13
Zotu508	5
Zotu235	16
Zotu854	7
Zotu1512	1
Zotu1159	4
Zotu963	1
Zotu67	29
Zotu1143	1
Zotu338	8
Zotu154	20
Zotu956	2
Zotu105	18
Zotu974	2
Zotu704	1
Zotu147	10
Zotu783	2
Zotu296	8
Zotu702	4
Zotu1390	2
Zotu772	4
Zotu1216	2
Zotu870	3
Zotu311	8
Zotu920	2
Zotu469	4
Zotu1552	1
Zotu563	5
Zotu397	10
Zotu420	4
Zotu780	6
Zotu1187	2
Zotu1482	1
Zotu803	2
Zotu102	14
Zotu258	10
Zotu612	4
Zotu248	7
Zotu843	1
Zotu304	8
Zotu945	2
Zotu161	15
Zotu1219	2
Zotu171	13
Zotu302	13
Zotu436	5
Zotu381	5
Zotu13	61
Zotu463	6
Zotu140	21
Zotu402	2
Zotu965	3
Zotu91	12
Zotu384	7
Zotu936	3
Zotu267	9
Zotu357	8
Zotu23	32
Zotu1281	1
Zotu382	9
Zotu355	8
Zotu1158	4
Zotu556	6
Zotu385	4
Zotu250	9
Zotu756	3
Zotu677	3
Zotu645	5
Zotu589	7
Zotu483	4
Zotu548	3
Zotu672	4
Zotu557	4
Zotu676	1
Zotu272	6
Zotu1222	1
Zotu345	8
Zotu698	4
Zotu1040	5
Zotu539	5
Zotu546	4
Zotu1275	5
Zotu341	5
Zotu114	8
Zotu953	4
Zotu358	7
Zotu749	3
Zotu845	4
Zotu379	4
Zotu641	9
Zotu614	7
Zotu444	1
Zotu937	6
Zotu958	3
Zotu288	8
Zotu1448	1
Zotu1358	2
Zotu383	9
Zotu184	12
Zotu954	7
Zotu440	7
Zotu716	6
Zotu949	3
Zotu643	4
Zotu753	2
Zotu194	18
Zotu471	12
Zotu257	13
Zotu387	10
Zotu657	4
Zotu175	6
Zotu86	10
Zotu503	3
Zotu87	14
Zotu1128	2
Zotu1400	1
Zotu344	8
Zotu458	4
Zotu218	12
Zotu177	10
Zotu170	16
Zotu1233	4
Zotu797	2
Zotu364	5
Zotu191	12
Zotu1453	3
Zotu133	18
Zotu303	11
Zotu522	3
Zotu1010	1
Zotu321	10
Zotu1223	3
Zotu452	4
Zotu834	2
Zotu907	4
Zotu186	14
Zotu256	10
Zotu307	13
Zotu310	11
Zotu898	3
Zotu309	5
Zotu409	11
Zotu1168	4
Zotu1529	2
Zotu1450	1
Zotu826	1
Zotu747	1
Zotu320	11
Zotu627	4
Zotu1508	3
Zotu377	4
Zotu94	18
Zotu632	1
Zotu1063	4
Zotu293	4
Zotu578	5
Zotu896	1
Zotu251	10
Zotu526	2
Zotu1244	1
Zotu1067	2
Zotu279	8
Zotu833	4
Zotu629	3
Zotu683	3
Zotu543	2
Zotu823	5
Zotu1206	2
Zotu158	15
Zotu121	15
Zotu433	8
Zotu441	3
Zotu275	9
Zotu1235	1
Zotu255	10
Zotu801	7
Zotu1316	1
Zotu374	8
Zotu277	7
Zotu910	2
Zotu1031	3
Zotu490	4
Zotu237	7
Zotu987	4
Zotu1639	3
Zotu1433	1
Zotu533	5
Zotu502	5
Zotu74	29
Zotu146	9
Zotu196	10
Zotu588	2
Zotu1597	2
Zotu630	3
Zotu1516	1
Zotu337	7
Zotu415	4
Zotu1211	5
Zotu722	2
Zotu983	2
Zotu287	4
Zotu215	10
Zotu561	3
Zotu733	3
Zotu1608	3
Zotu324	8
Zotu370	6
Zotu418	6
Zotu222	12
Zotu1176	1
Zotu816	1
Zotu628	5
Zotu169	17
Zotu1510	2
Zotu305	7
Zotu378	6
Zotu392	4
Zotu285	10
Zotu232	5
Zotu934	2
Zotu1535	2
Zotu1493	1
Zotu1544	2
Zotu794	4
Zotu424	4
Zotu1560	2
Zotu521	7
Zotu684	5
Zotu868	4
Zotu519	3
Zotu1217	1
Zotu580	2
Zotu236	10
Zotu587	4
Zotu1269	1
Zotu617	3
Zotu639	5
Zotu1173	2
Zotu450	10
Zotu603	3
Zotu466	3
Zotu1456	2
Zotu419	5
Zotu422	5
Zotu1405	3
Zotu497	5
Zotu899	2
Zotu244	7
Zotu1224	3
Zotu313	6
Zotu959	1
Zotu124	21
Zotu662	7
Zotu1142	1
Zotu103	10
Zotu329	10
Zotu763	1
Zotu1113	5
Zotu1082	3
Zotu968	4
Zotu692	3
Zotu185	14
Zotu700	1
Zotu1380	2
Zotu905	3
Zotu1052	1
Zotu535	5
Zotu581	6
Zotu299	5
Zotu260	4
Zotu1225	2
Zotu200	11
Zotu1122	2
Zotu1406	1
Zotu739	6
Zotu110	20
Zotu562	7
Zotu613	5
Zotu1618	1
Zotu1023	3
Zotu1506	2
Zotu545	2
Zotu1586	1
Zotu221	10
Zotu667	5
Zotu725	1
Zotu1117	1
Zotu619	2
Zotu153	10
Zotu979	1
Zotu1226	2
Zotu901	3
Zotu973	5
Zotu1094	2
Zotu555	7
Zotu1414	1
Zotu745	1
Zotu491	5
Zotu807	3
Zotu173	7
Zotu1077	1
Zotu510	3
Zotu1446	1
Zotu211	7
Zotu318	4
Zotu1172	4
Zotu1303	1
Zotu1440	1
Zotu651	3
Zotu917	1
Zotu706	2
Zotu765	3
Zotu995	2
Zotu1492	1
Zotu386	3
Zotu155	6
Zotu164	13
Zotu412	3
Zotu582	3
Zotu738	2
Zotu1149	1
Zotu405	3
Zotu1625	1
Zotu867	4
Zotu136	12
Zotu1298	1
Zotu933	1
Zotu729	3
Zotu265	10
Zotu537	1
Zotu372	1
Zotu714	3
Zotu1384	2
Zotu1577	1
Zotu432	4
Zotu939	4
Zotu517	5
Zotu1221	1
Zotu1280	2
Zotu1245	2
Zotu648	4
Zotu569	5
Zotu596	4
Zotu72	20
Zotu660	2
Zotu261	5
Zotu266	13
Zotu1480	3
Zotu829	3
Zotu281	5
Zotu528	5
Zotu784	3
Zotu187	5
Zotu334	3
Zotu592	2
Zotu912	2
Zotu413	6
Zotu1204	3
Zotu931	2
Zotu280	11
Zotu542	6
Zotu241	10
Zotu375	7
Zotu1638	2
Zotu696	5
Zotu1145	1
Zotu407	7
Zotu601	7
Zotu350	4
Zotu1186	2
Zotu1009	1
Zotu1501	1
Zotu1039	2
Zotu1600	2
Zotu231	7
Zotu840	3
Zotu1005	2
Zotu711	4
Zotu849	1
Zotu1365	2
Zotu492	5
Zotu220	8
Zotu894	2
Zotu649	4
Zotu1247	2
Zotu1511	1
Zotu788	3
Zotu1093	6
Zotu1610	2
Zotu866	1
Zotu1536	4
Zotu1382	2
Zotu1101	1
Zotu771	4
Zotu993	2
Zotu368	3
Zotu1546	1
Zotu401	4
Zotu195	8
Zotu1111	3
Zotu583	9
Zotu789	2
Zotu451	3
