#OTU ID	Read
Zotu1	18874
Zotu25	4255
Zotu5	7302
Zotu12	7334
Zotu16	4257
Zotu24	4091
Zotu8	7712
Zotu4	8135
Zotu6	6686
Zotu30	3939
Zotu26	6500
Zotu34	3865
Zotu28	4186
Zotu33	3517
Zotu18	4439
Zotu9	6248
Zotu7	6624
Zotu23	4799
Zotu38	2899
Zotu17	3907
Zotu39	3114
Zotu15	4462
Zotu21	4000
Zotu22	4963
Zotu2	17609
Zotu35	4097
Zotu10	5439
Zotu41	2868
Zotu13	4580
Zotu29	3099
Zotu40	2191
Zotu27	4179
Zotu44	2485
Zotu47	2657
Zotu54	2418
Zotu100	1515
Zotu37	2648
Zotu52	2360
Zotu20	4601
Zotu48	2128
Zotu36	2699
Zotu62	2087
Zotu53	2371
Zotu14	4730
Zotu3	10476
Zotu19	4086
Zotu31	4157
Zotu88	2189
Zotu11	6257
Zotu72	1672
Zotu42	2505
Zotu75	1782
Zotu65	1756
Zotu61	1890
Zotu68	1967
Zotu51	2559
Zotu57	1572
Zotu45	2197
Zotu50	2115
Zotu56	1424
Zotu92	1415
Zotu76	1490
Zotu89	1443
Zotu46	2074
Zotu58	1291
Zotu55	1635
Zotu69	1875
Zotu82	2012
Zotu78	1665
Zotu80	1564
Zotu60	1813
Zotu106	1035
Zotu147	881
Zotu81	1422
Zotu87	1661
Zotu136	1237
Zotu86	1047
Zotu59	1892
Zotu73	1326
Zotu132	965
Zotu272	651
Zotu71	1395
Zotu111	1150
Zotu174	772
Zotu43	3053
Zotu124	1136
Zotu32	2767
Zotu74	1543
Zotu49	2167
Zotu64	2016
Zotu133	1337
Zotu126	1253
Zotu108	1071
Zotu83	1566
Zotu154	949
Zotu109	1351
Zotu116	770
Zotu225	1039
Zotu70	1820
Zotu79	1758
Zotu135	1188
Zotu117	1324
Zotu140	993
Zotu118	1251
Zotu254	894
Zotu316	467
Zotu170	709
Zotu266	652
Zotu195	809
Zotu112	1226
Zotu107	1073
Zotu289	347
Zotu127	1457
Zotu180	875
Zotu307	649
Zotu122	855
Zotu94	1430
Zotu348	454
Zotu169	793
Zotu84	1746
Zotu299	579
Zotu105	1016
Zotu158	898
Zotu308	572
Zotu155	647
Zotu397	494
Zotu104	1281
Zotu85	1330
Zotu467	638
Zotu346	531
Zotu255	465
Zotu204	721
Zotu99	1277
Zotu90	1482
Zotu157	846
Zotu91	1443
Zotu233	771
Zotu175	1076
Zotu137	1157
Zotu206	839
Zotu191	1098
Zotu115	1426
Zotu273	925
Zotu95	1321
Zotu177	694
Zotu205	716
Zotu286	549
Zotu153	956
Zotu223	1002
Zotu165	884
Zotu138	1123
Zotu226	901
Zotu335	749
Zotu399	423
Zotu141	842
Zotu179	786
Zotu258	609
Zotu199	599
Zotu143	811
Zotu749	406
Zotu214	706
Zotu248	690
Zotu134	1206
Zotu67	1593
Zotu320	591
Zotu130	726
Zotu217	744
Zotu96	1678
Zotu145	838
Zotu333	523
Zotu325	552
Zotu314	379
Zotu366	339
Zotu66	1669
Zotu185	744
Zotu395	552
Zotu120	820
Zotu297	382
Zotu450	491
Zotu269	913
Zotu246	505
Zotu146	839
Zotu114	953
Zotu276	415
Zotu617	292
Zotu98	1146
Zotu428	472
Zotu160	864
Zotu149	790
Zotu317	594
Zotu171	749
Zotu940	116
Zotu152	761
Zotu244	641
Zotu123	1108
Zotu173	1056
Zotu561	421
Zotu129	786
Zotu77	1439
Zotu1721	220
Zotu97	925
Zotu277	491
Zotu235	642
Zotu354	434
Zotu139	1183
Zotu509	350
Zotu445	333
Zotu218	663
Zotu594	355
Zotu187	759
Zotu260	564
Zotu103	874
Zotu338	218
Zotu215	615
Zotu459	490
Zotu349	495
Zotu411	376
Zotu181	692
Zotu213	531
Zotu216	625
Zotu330	590
Zotu142	779
Zotu150	1147
Zotu417	560
Zotu627	247
Zotu537	321
Zotu359	338
Zotu1199	181
Zotu310	495
Zotu378	446
Zotu611	415
Zotu420	494
Zotu188	618
Zotu227	710
Zotu680	402
Zotu403	302
