mean_read_accuracy_pct	read_depth	truth_asv	recovered_nm0
96	300	Salmonella_5;size=5	False
96	300	Enterococcus_4;size=4	False
96	300	Staphylococcus_4;size=4	False
96	300	Bacillus_4_5;size=3	False
96	300	Bacillus_7;size=2	False
96	300	Escherichia_5;size=2	False
96	300	Listeria_2_5;size=2	False
96	300	Listeria_6;size=2	False
96	300	Bacillus_1;size=1	False
96	300	Bacillus_3;size=1	False
96	300	Bacillus_8;size=1	False
96	300	Bacillus_9;size=1	False
96	300	Escherichia_1;size=1	False
96	300	Escherichia_2;size=1	False
96	300	Escherichia_4;size=1	False
96	300	Escherichia_6;size=1	False
96	300	Escherichia_7;size=1	False
96	300	Lactobacillus_1;size=1	False
96	300	Lactobacillus_2;size=1	False
96	300	Lactobacillus_3;size=1	False
96	300	Lactobacillus_4;size=1	False
96	300	Lactobacillus_5;size=1	False
96	300	Listeria_1;size=1	False
96	300	Pseudomonas_1_2_3_4;size=1	False
96	300	Salmonella_7;size=1	False
96	300	Staphylococcus_2;size=1	False
96	300	Staphylococcus_3;size=1	False
96	1318	Salmonella_5;size=5	True
96	1318	Enterococcus_4;size=4	True
96	1318	Staphylococcus_4;size=4	True
96	1318	Bacillus_4_5;size=3	False
96	1318	Bacillus_7;size=2	False
96	1318	Escherichia_5;size=2	False
96	1318	Listeria_2_5;size=2	True
96	1318	Listeria_6;size=2	False
96	1318	Bacillus_1;size=1	False
96	1318	Bacillus_3;size=1	False
96	1318	Bacillus_8;size=1	False
96	1318	Bacillus_9;size=1	False
96	1318	Escherichia_1;size=1	False
96	1318	Escherichia_2;size=1	False
96	1318	Escherichia_4;size=1	False
96	1318	Escherichia_6;size=1	False
96	1318	Escherichia_7;size=1	False
96	1318	Lactobacillus_1;size=1	False
96	1318	Lactobacillus_2;size=1	False
96	1318	Lactobacillus_3;size=1	True
96	1318	Lactobacillus_4;size=1	False
96	1318	Lactobacillus_5;size=1	True
96	1318	Listeria_1;size=1	False
96	1318	Pseudomonas_1_2_3_4;size=1	False
96	1318	Salmonella_7;size=1	False
96	1318	Staphylococcus_2;size=1	False
96	1318	Staphylococcus_3;size=1	False
96	5792	Salmonella_5;size=5	True
96	5792	Enterococcus_4;size=4	True
96	5792	Staphylococcus_4;size=4	True
96	5792	Bacillus_4_5;size=3	True
96	5792	Bacillus_7;size=2	False
96	5792	Escherichia_5;size=2	True
96	5792	Listeria_2_5;size=2	True
96	5792	Listeria_6;size=2	True
96	5792	Bacillus_1;size=1	False
96	5792	Bacillus_3;size=1	False
96	5792	Bacillus_8;size=1	False
96	5792	Bacillus_9;size=1	False
96	5792	Escherichia_1;size=1	False
96	5792	Escherichia_2;size=1	False
96	5792	Escherichia_4;size=1	False
96	5792	Escherichia_6;size=1	False
96	5792	Escherichia_7;size=1	False
96	5792	Lactobacillus_1;size=1	False
96	5792	Lactobacillus_2;size=1	True
96	5792	Lactobacillus_3;size=1	True
96	5792	Lactobacillus_4;size=1	True
96	5792	Lactobacillus_5;size=1	False
96	5792	Listeria_1;size=1	False
96	5792	Pseudomonas_1_2_3_4;size=1	True
96	5792	Salmonella_7;size=1	False
96	5792	Staphylococcus_2;size=1	True
96	5792	Staphylococcus_3;size=1	True
96	25450	Salmonella_5;size=5	True
96	25450	Enterococcus_4;size=4	True
96	25450	Staphylococcus_4;size=4	True
96	25450	Bacillus_4_5;size=3	True
96	25450	Bacillus_7;size=2	True
96	25450	Escherichia_5;size=2	True
96	25450	Listeria_2_5;size=2	True
96	25450	Listeria_6;size=2	True
96	25450	Bacillus_1;size=1	False
96	25450	Bacillus_3;size=1	False
96	25450	Bacillus_8;size=1	False
96	25450	Bacillus_9;size=1	False
96	25450	Escherichia_1;size=1	False
96	25450	Escherichia_2;size=1	True
96	25450	Escherichia_4;size=1	False
96	25450	Escherichia_6;size=1	True
96	25450	Escherichia_7;size=1	True
96	25450	Lactobacillus_1;size=1	False
96	25450	Lactobacillus_2;size=1	True
96	25450	Lactobacillus_3;size=1	True
96	25450	Lactobacillus_4;size=1	True
96	25450	Lactobacillus_5;size=1	False
96	25450	Listeria_1;size=1	False
96	25450	Pseudomonas_1_2_3_4;size=1	True
96	25450	Salmonella_7;size=1	True
96	25450	Staphylococcus_2;size=1	True
96	25450	Staphylococcus_3;size=1	True
96	111828	Salmonella_5;size=5	True
96	111828	Enterococcus_4;size=4	True
96	111828	Staphylococcus_4;size=4	True
96	111828	Bacillus_4_5;size=3	True
96	111828	Bacillus_7;size=2	True
96	111828	Escherichia_5;size=2	True
96	111828	Listeria_2_5;size=2	True
96	111828	Listeria_6;size=2	True
96	111828	Bacillus_1;size=1	False
96	111828	Bacillus_3;size=1	False
96	111828	Bacillus_8;size=1	True
96	111828	Bacillus_9;size=1	True
96	111828	Escherichia_1;size=1	True
96	111828	Escherichia_2;size=1	False
96	111828	Escherichia_4;size=1	True
96	111828	Escherichia_6;size=1	True
96	111828	Escherichia_7;size=1	True
96	111828	Lactobacillus_1;size=1	True
96	111828	Lactobacillus_2;size=1	True
96	111828	Lactobacillus_3;size=1	True
96	111828	Lactobacillus_4;size=1	True
96	111828	Lactobacillus_5;size=1	True
96	111828	Listeria_1;size=1	False
96	111828	Pseudomonas_1_2_3_4;size=1	True
96	111828	Salmonella_7;size=1	True
96	111828	Staphylococcus_2;size=1	True
96	111828	Staphylococcus_3;size=1	True
97	300	Salmonella_5;size=5	False
97	300	Enterococcus_4;size=4	False
97	300	Staphylococcus_4;size=4	True
97	300	Bacillus_4_5;size=3	False
97	300	Bacillus_7;size=2	False
97	300	Escherichia_5;size=2	False
97	300	Listeria_2_5;size=2	False
97	300	Listeria_6;size=2	False
97	300	Bacillus_1;size=1	False
97	300	Bacillus_3;size=1	False
97	300	Bacillus_8;size=1	False
97	300	Bacillus_9;size=1	False
97	300	Escherichia_1;size=1	False
97	300	Escherichia_2;size=1	False
97	300	Escherichia_4;size=1	False
