species	tax_id	in_emu	n_reads	mean_de	mean_AS
Faecalibacterium prausnitzii	853	True	91761	0.022208286744913416	2464.801484290712
Phocaeicola vulgatus	821	True	51343	0.012634678534561674	2594.6519486590187
[Eubacterium] rectale	39491	True	38957	0.018198952691429012	2538.7239777190234
Fusicatenibacter saccharivorans	1150298	True	38733	0.022368636563137378	2503.341233573439
Blautia luti	89014	True	38546	0.03419556114771961	2424.4220152545013
[Eubacterium] siraeum	39492	True	38115	0.029411176702085793	2436.4898333989245
Lachnospira eligens	39485	True	37579	0.04291651720375742	2294.9054791239787
Ruminococcus bromii	40518	True	35271	0.025903810495874795	2435.9265402171754
Gemmiger formicilis	745368	True	29736	0.03922073244552059	2276.7802663438256
Anaerostipes hadrus	649756	True	25949	0.020679132143820573	2517.306023353501
Phocaeicola dorei	357276	True	25910	0.012442427634118102	2603.442647626399
Blautia obeum	40520	True	19953	0.029895634741642862	2430.3352378088507
Blautia faecis	871665	True	19744	0.01621167949756888	2306.221991491086
Anaerobutyricum hallii	39488	True	18116	0.026206022300728635	2487.036431883418
Blautia wexlerae	418240	True	17796	0.020097578107439874	2449.139357158912
Monoglobus pectinilyticus	1981510	True	17280	0.10334802083333335	1808.9861689814816
Lachnospiraceae bacterium GAM79	2109691	True	16366	0.053440339728705856	2207.4503238421116
Blautia sp. SC05B48	2479767	True	15949	0.03974841055865572	2350.149162956925
Roseburia faecis	301302	True	14802	0.02194035941089042	2510.7219970274286
Megamonas rupellensis	491921	True	13298	0.02816967965107535	2447.8559933824636
[Ruminococcus] faecis	592978	True	12713	0.019801408007551324	2468.3199874144575
Lachnospira multipara	28051	True	12282	0.09120208435108289	1855.4889268848722
Ruminococcus bicirculans	1160721	True	11974	0.019183138466677803	2490.524636712878
Dorea longicatena	88431	True	11730	0.015189982949701619	2372.823358908781
Bacteroides uniformis	820	True	10087	0.014525755923465847	2577.219093883216
Ruminococcus champanellensis	1161942	True	9710	0.06585007209062822	2098.922863027806
Erysipelotrichaceae bacterium GAM147	2109692	True	9404	0.0180428328370906	2525.3596341982134
Roseburia hominis	301301	True	8849	0.0381149395411911	2368.353260255396
Oscillibacter valericigenes	351091	True	8441	0.07092156142637128	2077.639853097974
[Ruminococcus] gnavus	33038	True	8370	0.049613261648745514	2267.6444444444446
Roseburia inulinivorans	360807	True	7829	0.030412159918252652	2434.1351385873036
Anaeromassilibacillus senegalensis	1673717	True	7570	0.07860796565389697	1967.0046235138705
Bacteroides faecis	674529	True	7443	0.016373303775359397	2564.385328496574
Dysosmobacter welbionis	2093857	True	7066	0.06049711293518256	2142.4523068213985
Roseburia intestinalis	166486	True	7011	0.027611082584510057	2460.822136642419
