species	tax_id	in_emu	n_reads	mean_de	mean_AS
Blautia stercoris	871664	True	6984	0.061880383734249714	2135.970074455899
Phocaeicola massiliensis	204516	True	6976	0.014827737958715595	2579.492975917431
Eubacterium xylanophilum	39497	True	6887	0.06760500943807174	2165.553651807754
Cuneatibacter caecimuris	1796618	True	6733	0.08928572701618892	1907.5168572701618
Butyricicoccus faecihominis	1712515	True	5875	0.02907084255319149	2463.39829787234
Bacteroides cellulosilyticus	246787	True	5696	0.013907233146067415	2573.5651334269664
Coprococcus comes	410072	True	5482	0.024118679314118936	2496.0363006202115
Bacteroides ovatus	28116	True	5358	0.013513157894736842	2589.4453154162
Akkermansia muciniphila	239935	True	5326	0.014623582425835523	2525.2656778069845
Faecalicatena fissicatena	290055	True	5059	0.05477289978256572	2243.508400869737
Faecalimonas umbilicata	1912855	True	5009	0.0669239369135556	2121.698742263925
Blautia glucerasea	536633	True	5002	0.06312453018792483	2168.6237504998003
Enterocloster bolteae	208479	True	4948	0.06260957962813257	2173.233225545675
Dorea formicigenerans	39486	True	4943	0.03239935261986648	2486.3683997572325
Longibaculum sp. KGMB06250	2584943	True	4933	0.02090835191566998	2499.9095884857084
Bacteroides stercoris	46506	True	4841	0.01565556703160504	2567.46436686635
Parabacteroides sp. CT06	2025876	True	4763	0.01776752047029183	2548.5452445937435
Phascolarctobacterium faecium	33025	True	4760	0.022212079831932772	2543.3789915966386
Lacrimispora amygdalina	253257	True	4657	0.06474666094051965	2144.227614343998
Sporobacter termitidis	44749	True	4526	0.08135048608042421	1976.1330092797173
Parabacteroides distasonis	823	True	4197	0.021518703836073384	2510.172504169645
Christensenella massiliensis	1805714	True	4033	0.11781455492189437	1651.5683114306967
Acetivibrio ethanolgignens	290052	True	3961	0.08081744508962384	2006.4395354708406
Bacteroides xylanisolvens	371601	True	3906	0.013108704557091653	2593.3054275473633
Romboutsia timonensis	1776391	True	3859	0.018068748380409432	2483.074112464369
Bifidobacterium pseudocatenulatum	28026	True	3682	0.016524497555676265	2534.029875067898
Tyzzerella nexilis	29361	True	3529	0.030070954944743555	2433.701331822046
Clostridium saudiense	1414720	True	3430	0.022803615160349858	2465.4635568513118
Alistipes putredinis	28117	True	3355	0.013735260804769002	2580.72131147541
Eubacterium coprostanoligenes	290054	True	3302	0.05883246517262265	2166.5787401574803
Christensenella sp. Marseille-P3954	2086585	True	3141	0.14138872970391594	1511.1824259789876
Hungatella hathewayi	154046	True	3114	0.06884797687861272	2106.839755940912
Parasutterella excrementihominis	487175	True	3068	0.018191297262059973	2548.0495436766623
Clostridium sp. BNL1100	755731	True	2780	0.1391885251798561	1483.0205035971223
Eubacterium ramulus	39490	True	2703	0.03646640769515354	2472.4698483166853
Neglecta timonensis	1776382	True	2575	0.05664069902912621	2163.81359223301
Robinsoniella peoriensis	180332	True	2540	0.06647933070866141	2130.493307086614
Hungateiclostridium cellulolyticum	35830	True	2535	0.13268358974358974	1493.0856015779093
Bacteroides finegoldii	338188	True	2493	0.014986241476133174	2576.387083834737
Alistipes shahii	328814	True	2463	0.015128623629719853	2562.6885911490053
Bacteroides salyersiae	291644	True	2419	0.013063083918974783	2581.0863993385697
Vampirovibrio chlorellavorus	758823	True	2399	0.15200575239683203	1314.4305960817007
Parabacteroides johnsonii	387661	True	2389	0.016461322729175387	2568.380075345333
Lactobacillus rogosae	706562	True	2383	0.03783252203105329	2370.33361309274
Frisingicoccus caecimuris	1796636	True	2260	0.04877115044247788	2290.8942477876108
Caproiciproducens sp. NJN-50	2507162	True	2231	0.08970282384580906	1889.2976243836845
Clostridium sporogenes	1509	False	2195	0.012273211845102504	2575.4364464692485
Lacrimispora xylanolytica	29375	True	2184	0.06429326923076924	2163.5824175824177
Bacteroides sp. A1C1	2528203	True	2062	0.014256062075654705	2578.6862269641124
Flintibacter sp. KGMB00164	2610895	True	2017	0.06266088249876053	2163.2221120475956
Odoribacter splanchnicus	28118	True	1994	0.01498741223671013	2564.694583751254
Faecalicoccus acidiformans	915173	True	1989	0.08058371040723983	2015.255404725993
Pseudoclostridium thermosuccinogenes	84032	True	1932	0.1280583850931677	1498.5465838509317
Parabacteroides merdae	46503	True	1898	0.014373603793466807	2581.8435194942044
Blautia producta	33035	True	1855	0.07073061994609164	2099.9628032345013
Barnesiella intestinihominis	487174	True	1827	0.02490229885057471	2495.789819376026
[Ruminococcus] torques	33039	True	1653	0.06467791893526921	2132.206896551724
Coprococcus catus	116085	True	1576	0.03657868020304569	2319.4942893401017
Odoribacter laneus	626933	True	1571	0.01585741565881604	2562.1273074474857
Lacrimispora sphenoides	29370	True	1401	0.06174104211277659	2174.5103497501786
Acholeplasma axanthum	29552	True	1390	0.14543172661870504	1432.7129496402877
Raoultibacter timonensis	1907662	True	1346	0.08548060921248142	1932.1961367013373
Lacrimispora saccharolytica	84030	True	1294	0.07373624420401854	2066.617465224111
Lachnospira pectinoschiza	28052	True	1242	0.0349865539452496	2486.209339774557
Catabacter hongkongensis	270498	True	1236	0.13509716828478963	1485.0906148867314
Faecalicatena contorta	39482	True	1142	0.05369220665499124	2241.8467600700524
Ruminococcus flavefaciens	1265	True	1139	0.07318331870061458	1994.595258999122
Negativibacillus massiliensis	1871035	True	1137	0.03343834652594547	2380.2647317502197
Alistipes onderdonkii	328813	True	1116	0.014639695340501793	2569.7293906810037
Eubacterium ventriosum	39496	True	1115	0.04219982062780269	2380.0896860986545
Sutterella wadsworthensis	40545	True	1111	0.012922592259225922	2539.0
Turicibacter sp. H121	1712675	True	1099	0.025424749772520475	2441.671519563239
Coprococcus eutactus	33043	True	1088	0.02215634191176471	2482.359375
Colidextribacter massiliensis	1870986	True	1068	0.056636048689138574	2212.679775280899
Dialister invisus	218538	True	1066	0.019280581613508443	2585.4409005628518
Bifidobacterium bifidum	1681	True	1049	0.01722793136320305	2528.6625357483317
Bacteroides caccae	47678	True	1019	0.014471344455348381	2580.4200196270854
Intestinibacter bartlettii	261299	True	1019	0.019955348380765455	2465.5534838076546
Duodenibacillus massiliensis	1852381	True	1005	0.05298407960199005	2248.4328358208954
Anaerobacterium chartisolvens	1297424	True	985	0.13174263959390864	1496.4467005076142
Kineothrix alysoides	1469948	True	934	0.08681991434689507	1937.1316916488222
Eubacterium oxidoreducens	1732	True	927	0.06553807982740022	2130.5501618122976
Ruminococcus gauvreauii	438033	True	909	0.07842035203520352	2080.3883388338836
Anaerotignum faecicola	2358141	True	870	0.03372137931034483	2404.9333333333334
Christensenella minuta	626937	True	858	0.11992331002331003	1614.8682983682984
Ruminiclostridium hungatei	48256	True	857	0.12675495915986	1483.8903150525086
Bacteroides thetaiotaomicron	818	True	831	0.02376257521058965	2475.6474127557162
Bifidobacterium longum	216816	True	820	0.018853902439024392	2509.641463414634
Megamonas funiformis	437897	True	780	0.043019999999999996	1967.7205128205128
Caproiciproducens galactitolivorans	642589	True	741	0.09137584345479083	1873.6491228070176
Ruminiclostridium cellobioparum	29355	True	734	0.13745517711171662	1490.899182561308
Intestinimonas butyriciproducens	1297617	True	704	0.09283366477272727	1872.5511363636363
Terrisporobacter mayombei	1541	True	703	0.025703271692745378	2424.7041251778096
[Clostridium] leptum	1535	True	687	0.03574133915574964	2375.3464337700148
Lacrimispora indolis	69825	True	686	0.06909810495626822	2108.6180758017495
Subdoligranulum variabile	214851	True	678	0.035129498525073743	2328.0
Ihubacter massiliensis	1852367	True	677	0.07453323485967504	2035.304283604136
Pseudoflavonifractor phocaeensis	1870988	True	675	0.04246696296296296	2339.0444444444443
Flavonifractor plautii	292800	True	659	0.03651487101669196	2378.3763277693474
Hungateiclostridium straminisolvens	253314	True	657	0.1145779299847793	1648.4505327245054
Eisenbergiella massiliensis	1720294	True	625	0.05466208	2227.0848
Bacteroides fragilis	817	True	618	0.01589708737864078	2565.9336569579286
[Clostridium] symbiosum	1512	True	601	0.058879034941763726	2262.6722129783693
Kiloniella majae	1938558	True	563	0.1327145648312611	1496.0390763765542
[Clostridium] polysaccharolyticum	29364	True	544	0.087390625	1919.1286764705883
Streptococcus salivarius	1304	True	504	0.014024206349206349	2600.6150793650795
[Clostridium] saccharogumia	341225	True	500	0.1525892	1367.556
Hungateiclostridium aldrichii	29353	True	490	0.12939755102040817	1496.3265306122448
Papillibacter cinnamivorans	100176	True	485	0.10375628865979382	1774.8783505154638
[Ruminococcus] lactaris	46228	True	479	0.033941962421711894	2389.6764091858035
Butyricimonas faecalis	2093856	True	478	0.021033472803347282	2514.6276150627614
Marvinbryantia formatexigens	168384	True	461	0.05499305856832972	2227.6203904555314
Clostridium beijerinckii	1520	True	453	0.03812847682119205	2339.037527593819
Clostridiales bacterium	1898207	False	438	0.09841803652968037	1823.8995433789955
Lachnoclostridium pacaense	1917870	True	430	0.06310302325581395	2145.2627906976745
Clostridiales bacterium CCNA10	2109688	True	429	0.07604172494172494	2016.1538461538462
Blautia hominis	2025493	True	425	0.05941647058823529	2195.7905882352943
Amedibacillus dolichus	31971	True	424	0.09529929245283018	1887.4575471698113
Anaerotruncus rubiinfantis	1720200	True	404	0.08269752475247524	1966.8242574257426
Caecibacterium sporoformans	915180	True	390	0.08076948717948718	2007.9923076923078
Turicibacter sanguinis	154288	True	379	0.015714511873350923	2522.8100263852243
Hungateiclostridium alkalicellulosi	320502	True	374	0.1407957219251337	1459.5935828877004
Blautia schinkii	180164	True	360	0.07043555555555556	2097.213888888889
Oscillibacter sp. PEA192	2109687	True	352	0.023513352272727273	2484.221590909091
Faecalicatena orotica	1544	True	350	0.06502628571428572	2148.942857142857
Phocea massiliensis	1841867	True	342	0.07984035087719298	1954.4795321637428
Butyricimonas virosa	544645	True	337	0.022342433234421366	2503.7655786350147
[Clostridium] spiroforme	29348	True	326	0.024661349693251535	2462.411042944785
Anaerotruncus colihominis	169435	True	324	0.06523302469135803	2020.1543209876543
Lachnoclostridium sp. YL32	1834196	True	323	0.0700030959752322	2089.5263157894738
Vallitalea pronyensis	1348613	True	322	0.11278975155279504	1687.0434782608695
Parabacteroides goldsteinii	328812	True	320	0.025694062499999996	2482.30625
Victivallales bacterium CCUG 44730	2094242	True	319	0.09845893416927899	1816.614420062696
Alistipes ihumii	1470347	True	290	0.021297241379310345	2520.2379310344827
Alistipes communis	2585118	True	286	0.01441853146853147	2605.3216783216785
Cohaesibacter haloalkalitolerans	1162980	True	281	0.14114733096085408	1359.067615658363
Lachnospiraceae bacterium Choco86	2109690	True	274	0.030334671532846715	2433.992700729927
Ruthenibacterium lactatiformans	1550024	True	270	0.028054814814814814	2444.2185185185185
Emergencia timonensis	1776384	True	265	0.08053056603773584	2007.8301886792453
Oscillibacter ruminantium	1263547	True	260	0.07217423076923077	1930.2961538461539
Holdemania filiformis	61171	True	257	0.016692996108949417	2425.887159533074
Christensenella timonensis	1816678	True	256	0.12499765625	1551.58984375
Mediterraneibacter glycyrrhizinilyticus	342942	True	254	0.033523622047244094	2410.685039370079
Escherichia coli	562	True	248	0.013819758064516128	2591.1814516129034
Pseudoflavonifractor capillosus	106588	True	227	0.05225550660792951	2240.101321585903
Alistipes finegoldii	214856	True	221	0.01753891402714932	2544.9864253393666
Breznakia pachnodae	265178	True	197	0.1675746192893401	1239.1269035532996
Ruminococcus callidus	40519	True	197	0.08514467005076141	1846.46192893401
Streptococcus thermophilus	1308	True	196	0.016662755102040815	2575.530612244898
Peptococcus simiae	1643805	True	189	0.11780211640211641	1695.915343915344
Anaerocolumna cellulosilytica	433286	True	184	0.09375760869565218	1867.1195652173913
Desulfovibrio desulfuricans	876	True	179	0.07516145251396648	2080.972067039106
Spiroplasma velocicrescens	216947	False	173	0.15988843930635838	1218.4335260115606
Paludicola psychrotolerans	2038680	True	170	0.08189823529411765	1954.5
Enterocloster lavalensis	460384	True	169	0.04752899408284023	2297.5384615384614
Lactococcus lactis	1358	True	169	0.011123668639053255	2629.8579881656806
Fournierella massiliensis	1650663	True	167	0.0806065868263473	2033.9221556886228
Eubacterium uniforme	39495	True	166	0.0722066265060241	2055.614457831325
Lacrimispora celerecrescens	29354	True	166	0.06902048192771085	2103.759036144578
Aestuariispira insulae	1461337	True	165	0.12806969696969697	1502.6060606060605
Anaerotignum aminivorans	433287	True	156	0.06904551282051283	2085.153846153846
Oxalobacter formigenes	847	True	138	0.024527536231884056	2479.7971014492755
Clostridium chartatabidum	29356	True	137	0.05403430656934307	2181.5328467153286
Shinella zoogloeoides	352475	True	132	0.148525	1357.878787878788
Hungatella xylanolytica	384636	True	132	0.07706136363636364	1999.439393939394
Collinsella aerofaciens	74426	True	130	0.02244846153846154	2437.607692307692
Coprobacter fastidiosus	1099853	True	125	0.0994304	1861.696
[Clostridium] methylpentosum	84026	True	122	0.08287950819672131	1962.950819672131
Longibaculum muris	1796628	True	120	0.03779833333333334	2355.85
Butyrivibrio crossotus	45851	True	119	0.11697731092436973	1661.7058823529412
Murimonas intestini	1337051	True	116	0.06011293103448276	1995.5862068965516
Lactonifactor longoviformis	341220	True	115	0.0706104347826087	2076.7130434782607
Desulfonispora thiosulfatigenes	83661	True	114	0.11162456140350877	1763.5087719298247
Azospirillum brasilense	192	False	113	0.14172389380530975	1394.4070796460178
Streptococcus equinus	1335	False	110	0.013697272727272726	2606.8
Streptococcus sp. FDAARGOS_192	1839799	False	109	0.013323853211009174	2613.0091743119265
Blautia caecimuris	1796615	True	109	0.024726605504587156	2382.678899082569
Intestinibacillus massiliensis	1871029	False	108	0.07231203703703704	1964.7222222222222
Anaerotignum lactatifermentans	160404	True	107	0.03591308411214953	2396.2056074766356
Desulfovibrio fairfieldensis	44742	True	104	0.07378846153846154	2097.403846153846
Breznakia blatticola	1754012	False	102	0.16567254901960787	1199.7254901960785
[Clostridium] viride	47246	True	100	0.120219	1634.96
Aminipila butyrica	433296	True	100	0.085203	1959.4
Erysipelatoclostridium ramosum	1547	True	97	0.028375257731958765	2426.463917525773
Enterocloster citroniae	358743	True	93	0.042256989247311826	2275.1612903225805
Blautia hydrogenotrophica	53443	True	93	0.03860322580645161	2353.2903225806454
Clostridium disporicum	84024	True	92	0.028213043478260872	2405.8478260869565
Butyricicoccus pullicaecorum	501571	True	86	0.11053255813953489	1727.2209302325582
Dehalobacterium formicoaceticum	51515	True	83	0.0975144578313253	1884.8433734939758
Anaerotaenia torta	433293	True	80	0.10458125	1770.45
Raoultibacter massiliensis	1852371	True	80	0.09374125	1861.75
Agathobaculum butyriciproducens	1628085	True	78	0.08805384615384615	1760.3846153846155
Streptococcus viridans	78535	True	77	0.013729870129870128	2612.6493506493507
Massilistercora timonensis	2086584	True	77	0.02669220779220779	2450.6493506493507
Hungateiclostridium thermocellum	1515	True	76	0.1273342105263158	1567.0
Mycoplasma mycoides	2102	False	73	0.1685054794520548	1190.7260273972602
Hydrogenoanaerobacterium saccharovorans	474960	True	72	0.1023111111111111	1792.5833333333333
Erysipelotrichaceae bacterium I46	1834207	True	72	0.050208333333333334	2261.0555555555557
Adlercreutzia equolifaciens	446660	True	70	0.02476714285714286	2432.2571428571428
Blautia sp. YL58	1796616	True	69	0.07477391304347826	2062.782608695652
Haemophilus parainfluenzae	729	True	68	0.017558823529411766	2553.485294117647
Tidjanibacter massiliensis	1871003	True	67	0.014849253731343284	2573.9402985074626
Ercella succinigenes	1337094	True	67	0.1286910447761194	1409.9253731343283
Mobilitalea sibirica	1462919	True	66	0.10044393939393939	1801.6969696969697
Spiroplasma chrysopicola	216933	True	64	0.165878125	1214.578125
Veillonella parvula	29466	True	63	0.017723809523809524	2604.031746031746
Hydrogenispora ethanolica	1082276	True	62	0.13125967741935482	1516.225806451613
[Clostridium] cellulosi	29343	True	60	0.14148333333333335	1425.4666666666667
Gabonia massiliensis	1686296	True	59	0.04207796610169492	2362.8813559322034
Culturomica massiliensis	1841857	True	57	0.09025087719298246	1940.1052631578948
Alistipes indistinctus	626932	True	55	0.012803636363636363	2565.1272727272726
Schaalia odontolytica	1660	True	55	0.017005454545454546	2561.818181818182
Eisenbergiella tayi	1432052	False	55	0.09693818181818181	1698.6363636363637
Megamonas hypermegale	158847	True	55	0.12258727272727273	1623.7818181818182
Ethanoligenens harbinense	253239	True	55	0.12820363636363635	1534.7272727272727
Alistipes timonensis	1465754	True	52	0.011955769230769232	2510.076923076923
Peptococcaceae bacterium DCMF	1761012	True	52	0.10108269230769232	1845.923076923077
Harryflintia acetispora	1849041	True	51	0.0651235294117647	2000.3529411764705
Streptococcus sp. A12	1759399	True	49	0.018810204081632653	2560.2448979591836
Ruminococcus sp. JE7A12	2564099	True	49	0.10117346938775511	1777.795918367347
Mailhella massiliensis	1903261	True	48	0.07823125	2087.9166666666665
Victivallis vadensis	172901	True	48	0.11596666666666666	1649.4583333333333
Clostridium perfringens	1502	True	48	0.021356249999999997	2473.9791666666665
Bacteroides faecichinchillae	871325	True	47	0.04681063829787234	2298.3829787234044
Desulfovibrio vulgaris	881	True	47	0.09484255319148936	1919.4893617021276
Falcatimonas natans	433279	True	46	0.08937391304347826	1907.3260869565217
Klebsiella oxytoca	571	True	45	0.016875555555555557	2561.4666666666667
Blautia hansenii	1322	True	44	0.0695590909090909	2075.8636363636365
Blautia sp. N6H1-15	1912897	True	44	0.07273863636363637	2065.2727272727275
Drancourtella massiliensis	1632013	True	42	0.031483333333333335	2426.1666666666665
Lactobacillus paracasei	1597	True	41	0.020168292682926827	2584.0975609756097
Anaerovorax odorimutans	109327	True	41	0.08253414634146342	1929.8048780487804
Lachnoclostridium phocaeense	1871021	True	39	0.03739230769230769	2378.25641025641
Lutispora thermophila	288966	True	39	0.14972051282051282	1336.5128205128206
Lactobacillus curvatus	28038	True	38	0.011976315789473684	2658.8947368421054
Traorella massiliensis	1903263	True	38	0.033702631578947366	2409.684210526316
Azospirillum fermentarium	1233114	True	37	0.14497567567567565	1386.3243243243244
[Clostridium] scindens	29347	True	37	0.026343243243243244	2473.0810810810813
Agathobaculum desmolans	39484	True	37	0.048597297297297296	2334.189189189189
Butyricimonas faecihominis	1472416	True	37	0.025521621621621624	2516.3783783783783
Anaerofilum pentosovorans	52787	False	36	0.0646638888888889	2131.722222222222
Blautia coccoides	1532	True	35	0.0715	2081.657142857143
Eggerthella lenta	84112	True	34	0.022005882352941177	2458.3529411764707
Lawsonia intracellularis	29546	True	34	0.09427941176470588	1870.4117647058824
Clostridium merdae	1958780	True	34	0.09296470588235295	1870.8529411764705
Rothia mucilaginosa	43675	True	33	0.009906060606060607	2605.939393939394
Staphylococcus felis	46127	True	33	0.15132727272727273	1331.1515151515152
Phascolarctobacterium succinatutens	626940	False	33	0.037612121212121215	2117.818181818182
[Clostridium] dakarense	1301100	False	32	0.027871875	2411.3125
Escherichia fergusonii	564	False	31	0.014441935483870967	2594.5806451612902
Kiloniella litopenaei	1549748	True	28	0.13746785714285714	1440.642857142857
Spiroplasma syrphidicola	216945	True	27	0.16724444444444445	1202.8148148148148
Streptococcus parasanguinis	1318	True	27	0.01294074074074074	2615.740740740741
Niveispirillum cyanobacteriorum	1612173	True	26	0.1460576923076923	1384.0
Veillonella atypica	39777	True	26	0.03179615384615385	2482.769230769231
Streptococcus vestibularis	1343	False	25	0.041612	2296.4
Spiroplasma leucomae	334122	False	25	0.158952	1272.44
Anaerobium acetethylicum	1619234	False	25	0.081344	1876.24
Massilimicrobiota timonensis	1776392	True	25	0.031368	2400.56
Dielma fastidiosa	1034346	True	24	0.04485416666666667	2286.4166666666665
Terrisporobacter petrolearius	1460447	False	24	0.05907083333333333	1925.8333333333333
Bacteroides koreensis	1912896	False	24	0.0491125	1892.0833333333333
Spiroplasma alleghenense	216931	False	23	0.16157391304347826	1257.391304347826
Thermincola carboxydiphila	278994	True	23	0.12938695652173915	1578.7826086956522
[Clostridium] hylemonae	89153	False	23	0.07694782608695652	1938.8695652173913
Paenibacillus agarexedens	171401	False	22	0.16612272727272728	1200.5454545454545
Enterocloster aldensis	358742	False	21	0.03240952380952381	2259.5238095238096
Ruminococcaceae bacterium CPB6	1572656	True	21	0.09934285714285714	1760.095238095238
Klebsiella sp. FDAARGOS_511	2488567	False	21	0.012523809523809524	2604.095238095238
Veillonella dispar	39778	True	20	0.022255	2502.5
Vallitalea guaymasensis	1185412	True	20	0.11691499999999999	1610.7
Streptococcus sp. LPB0220	2610896	True	20	0.018245	2571.2
Streptococcus australis	113107	False	20	0.02348	2521.65
Eubacterium limosum	1736	True	19	0.011389473684210527	2581.4736842105262
Asaccharobacter celatus	394340	False	19	0.02890526315789474	2380.1052631578946
Butyricimonas phoceensis	1720203	True	18	0.03404444444444445	2348.6666666666665
[Bacteroides] pectinophilus	384638	False	18	0.11604999999999999	1641.888888888889
[Clostridium] innocuum	1522	False	17	0.022417647058823528	2528.8823529411766
Acetanaerobacterium elongatum	258515	True	17	0.1003235294117647	1769.4117647058824
Cloacibacillus evryensis	508460	True	17	0.027058823529411764	2418.1176470588234
Mycoplasma yeatsii	51365	False	17	0.16863529411764705	1173.3529411764705
Gloeocapsa sp. PCC 7428	1173026	True	17	0.14014705882352943	1446.3529411764705
Bariatricus massiliensis	1745713	True	17	0.08354117647058823	1950.7058823529412
Dongia soli	600628	False	16	0.14845625	1325.5
Rhizobium leguminosarum	384	False	15	0.12213333333333334	1354.6666666666667
Bacteroides rodentium	691816	True	15	0.07974666666666666	1773.8666666666666
Streptococcus gordonii	1302	True	15	0.013413333333333333	2620.9333333333334
Lachnospiraceae bacterium KGMB03038	2594789	True	14	0.025507142857142857	2474.1428571428573
Klebsiella sp. M5al	1934254	False	14	0.006142857142857143	2662.5714285714284
Romboutsia lituseburensis	1537	False	14	0.026892857142857142	2434.6428571428573
Bacteroides kribbi	1912894	False	13	0.045307692307692306	1912.1538461538462
Bacteroides intestinalis	329854	True	13	0.0558	2233.076923076923
Hungatella effluvii	1096246	False	13	0.0884846153846154	1759.1538461538462
Insolitispirillum peregrinum	80876	False	12	0.15390833333333334	1292.0
Clostridium sp. SY8519	1042156	True	12	0.10175000000000001	1763.0
Granulicatella adiacens	46124	True	12	0.015575	2614.0833333333335
Sinibacillus soli	1289106	False	12	0.15940000000000001	1126.3333333333333
Merdimonas faecis	1653435	False	12	0.058041666666666665	2155.3333333333335
Bacillus subtilis	1423	True	11	0.032309090909090905	2415.4545454545455
Enterobacter asburiae	61645	True	11	0.005454545454545454	2674.5454545454545
[Clostridium] fimetarium	99656	False	11	0.0887090909090909	1892.5454545454545
Anaerotignum propionicum	28446	False	11	0.08038181818181818	1983.6363636363637
Lachnobacterium bovis	140626	False	11	0.11258181818181817	1689.4545454545455
Kiloniella laminariae	454162	False	11	0.14674545454545454	1309.4545454545455
Hungateiclostridium clariflavum	288965	False	10	0.12641	1335.0
Gemella sanguinis	84135	True	10	0.00996	2661.6
Staphylococcus aureus	1280	False	10	0.05183	2093.7
Bifidobacterium catenulatum	1686	True	10	0.07343	1943.0
Holdemania massiliensis	1468449	True	10	0.02111	2515.4
Collinsella intestinalis	147207	True	10	0.008830000000000001	2571.6
Butyricimonas paravirosa	1472417	False	10	0.04428	2324.0
[Eubacterium] sulci	143393	False	10	0.0816	2003.8
Streptococcus infantis	68892	False	9	0.022255555555555553	2536.222222222222
Streptococcus sanguinis	1305	False	9	0.031288888888888894	2435.5555555555557
Streptococcus oralis	1303	True	9	0.025988888888888888	2505.5555555555557
Oscillatoria nigro-viridis	482564	False	9	0.13076666666666667	1524.6666666666667
Peptococcus niger	2741	True	9	0.12278888888888889	1579.111111111111
Anabaena cylindrica	1165	False	9	0.13785555555555554	1450.0
Lacrimispora algidixylanolytica	94868	True	9	0.0944888888888889	1869.5555555555557
Listeria monocytogenes	1639	False	8	0.042	2342.5
Mahella australiensis	252966	True	8	0.15439999999999998	1361.5
Absiella tortuosum	39494	True	8	0.1160875	1637.75
Bacteroides nordii	291645	True	8	0.039	2286.25
Candidatus Izimaplasma sp. HR1	1541959	True	8	0.1795	1042.625
Lacrimispora aerotolerans	36832	False	8	0.0979875	1729.5
Gloeobacter violaceus	33072	False	8	0.1492125	1311.5
Ruminiclostridium sufflavum	396504	False	8	0.135475	1396.5
Brevefilum fermentans	1986204	False	7	0.11702857142857144	1615.7142857142858
Anaerostipes butyraticus	645466	True	7	0.08885714285714286	1931.7142857142858
Abyssivirga alkaniphila	1675854	True	7	0.11325714285714285	1664.5714285714287
Veillonella tobetsuensis	1110546	False	7	0.028071428571428574	2485.285714285714
Paeniclostridium sordellii	1505	False	7	0.02762857142857143	2412.0
Oxalophagus oxalicus	36848	False	7	0.17365714285714287	1035.4285714285713
Staphylococcus schleiferi	1295	False	7	0.14094285714285715	1370.0
Limosilactobacillus fermentum	1613	False	7	0.04735714285714286	2263.4285714285716
Lactobacillus casei	1582	False	6	0.018266666666666667	2590.0
Beduini massiliensis	1585974	False	6	0.14076666666666668	1406.6666666666667
Faecalitalea cylindroides	39483	True	6	0.12555000000000002	1584.3333333333333
Streptococcus sp. I-G2	1156431	False	6	0.014766666666666666	2601.6666666666665
Mordavella massiliensis	1871024	False	6	0.10068333333333333	1835.6666666666667
[Clostridium] populeti	37658	True	6	0.09158333333333334	1711.0
Spiroplasma chinense	216932	False	6	0.1691	1170.0
