tax_id	abundance	species	genus	family	order	class	phylum	clade	superkingdom
821	0.05255621882235516	Phocaeicola vulgatus	Phocaeicola		Bacteroidales	Bacteroidia	Bacteroidetes	FCB group	Bacteria
853	0.046682130992694075	Faecalibacterium prausnitzii	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
39491	0.03415859715859073	[Eubacterium] rectale		Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
1150298	0.0331786900730593	Fusicatenibacter saccharivorans	Fusicatenibacter	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
357276	0.024481613087703292	Phocaeicola dorei	Phocaeicola		Bacteroidales	Bacteroidia	Bacteroidetes	FCB group	Bacteria
39492	0.024137842405238166	UNCLASSIFIED-(final_consensus_2_depth_22539)		Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
649756	0.022505734866057944	Anaerostipes hadrus	Anaerostipes	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
39485	0.021537608084287004	Lachnospira eligens	Lachnospira	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
871665	0.02038528018917026	Blautia faecis	Blautia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
418240	0.016875820605250585	Blautia wexlerae	Blautia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
437897	0.013550562134676716	Megamonas funiformis	Megamonas	Selenomonadaceae	Selenomonadales	Negativicutes	Firmicutes	Terrabacteria group	Bacteria
301302	0.013004384414872313	Roseburia faecis	Roseburia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
40518	0.01256744223902879	UNCLASSIFIED-(final_consensus_3_depth_11735)	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
39492	0.01213692568341826	UNCLASSIFIED-(final_consensus_4_depth_11333)		Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
88431	0.01160359920407984	Dorea longicatena	Dorea	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
592978	0.011350858141582116	[Ruminococcus] faecis	Mediterraneibacter	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
1160721	0.011347645331465619	Ruminococcus bicirculans	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
2109692	0.01064189804254189	Erysipelotrichaceae bacterium GAM147		Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Terrabacteria group	Bacteria
820	0.009967207918077625	Bacteroides uniformis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	FCB group	Bacteria
1981510	0.008477534960728752	UNCLASSIFIED-(final_consensus_8_depth_7916)	UNCLASSIFIED-(final_consensus_8_depth_7916)		Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
214851	0.00818516924012757	UNCLASSIFIED-(final_consensus_9_depth_7643)	Subdoligranulum	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
39488	0.007962414405383814	Anaerobutyricum hallii	Anaerobutyricum	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
853	0.007861746355066923	UNCLASSIFIED-(final_consensus_11_depth_7341)	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
40518	0.007202049344479642	UNCLASSIFIED-(final_consensus_13_depth_6725)	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
204516	0.006916109244111453	Phocaeicola massiliensis	Phocaeicola		Bacteroidales	Bacteroidia	Bacteroidetes	FCB group	Bacteria
1161942	0.00661731790327728	UNCLASSIFIED-(final_consensus_15_depth_6179)	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
1673717	0.00591157061435355	UNCLASSIFIED-(final_consensus_18_depth_5520)	UNCLASSIFIED-(final_consensus_18_depth_5520)	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
1628085	0.005606353653286384	Agathobaculum butyriciproducens	Agathobaculum	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
246787	0.005560303374949934	Bacteroides cellulosilyticus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	FCB group	Bacteria
166486	0.005418939729824088	Roseburia intestinalis	Roseburia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
214851	0.005364321957843647	UNCLASSIFIED-(final_consensus_21_depth_5009)	Subdoligranulum	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
239935	0.0053011366922192165	Akkermansia muciniphila	Akkermansia	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	PVC group	Bacteria
28116	0.005174766160970354	Bacteroides ovatus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	FCB group	Bacteria
410072	0.005106226211818429	Coprococcus comes	Coprococcus	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
39485	0.004948798516110101	UNCLASSIFIED-(final_consensus_23_depth_4621)	UNCLASSIFIED-(final_consensus_23_depth_4621)	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
46506	0.004909173858006644	Bacteroides stercoris	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	FCB group	Bacteria
214851	0.004551480998370034	UNCLASSIFIED-(final_consensus_26_depth_4250)	Subdoligranulum	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
1161942	0.004493650416273098	UNCLASSIFIED-(final_consensus_28_depth_4196)	UNCLASSIFIED-(final_consensus_28_depth_4196)	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
674529	0.004342648340797763	Bacteroides faecis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	FCB group	Bacteria
290055	0.004341577404092263	UNCLASSIFIED-(final_consensus_32_depth_4054)	Faecalicatena	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
48256	0.0042323418601313825	UNCLASSIFIED-(final_consensus_34_depth_3952)	UNCLASSIFIED-(final_consensus_34_depth_3952)	Hungateiclostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
301301	0.004222703429781893	Roseburia hominis	Roseburia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
2109691	0.004056708240429574	Lachnospiraceae bacterium GAM79		Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
40518	0.004052424493607579	UNCLASSIFIED-(final_consensus_37_depth_3784)	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
39485	0.004008516088682127	UNCLASSIFIED-(final_consensus_38_depth_3743)	UNCLASSIFIED-(final_consensus_38_depth_3743)	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
40518	0.003965678620462173	UNCLASSIFIED-(final_consensus_39_depth_3703)	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
371601	0.003909989911776234	Bacteroides xylanisolvens	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	FCB group	Bacteria
40520	0.0038778618106112693	UNCLASSIFIED-(final_consensus_41_depth_3621)	Blautia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
39485	0.0038617977600287866	UNCLASSIFIED-(final_consensus_42_depth_3606)	UNCLASSIFIED-(final_consensus_42_depth_3606)	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
823	0.003817889355103335	Parabacteroides distasonis	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	FCB group	Bacteria
1776391	0.003752562216067906	Romboutsia timonensis	Romboutsia	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
853	0.0037364981654854235	UNCLASSIFIED-(final_consensus_43_depth_3489)	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
418240	0.003671171026449995	UNCLASSIFIED-(final_consensus_45_depth_3428)	Blautia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
853	0.003617624191175053	UNCLASSIFIED-(final_consensus_47_depth_3378)	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
28026	0.00361119857094206	Bifidobacterium pseudocatenulatum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria
360807	0.003582283279893592	Roseburia inulinivorans	Roseburia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
214851	0.0035662192293111094	UNCLASSIFIED-(final_consensus_49_depth_3330)	Subdoligranulum	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
2025876	0.003563006419194613	Parabacteroides sp. CT06	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	FCB group	Bacteria
39485	0.0035437295584956337	UNCLASSIFIED-(final_consensus_50_depth_3309)	UNCLASSIFIED-(final_consensus_50_depth_3309)	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
89014	0.0034998211535701815	UNCLASSIFIED-(final_consensus_51_depth_3268)	Blautia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
40518	0.003461267432172224	UNCLASSIFIED-(final_consensus_52_depth_3232)	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
28117	0.003320974723751877	Alistipes putredinis	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	FCB group	Bacteria
1981510	0.003295272242819905	UNCLASSIFIED-(final_consensus_56_depth_3077)	UNCLASSIFIED-(final_consensus_56_depth_3077)		Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria
