rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	19198	1363	100	19167.2	39.6	57.7
Enterococcus_4;size=4	1	1381	32776	1381	100	32718.7	39.6	59.4
Staphylococcus_4;size=4	1	1372	46814	1372	100	46732.5	39.6	32.8
Bacillus_4_5;size=3	1	1370	16114	1370	100	16088.4	39.6	10.9
Bacillus_7;size=2	1	1370	8772	1370	100	8761.03	39.6	11.3
Escherichia_5;size=2	1	1363	5752	1363	100	5745.78	39.6	17.8
Listeria_2_5;size=2	1	1370	25815	1370	100	25787.5	39.6	15.6
Listeria_6;size=2	1	1370	16502	1370	100	16479.9	39.6	15.3
Bacillus_1;size=1	1	1370	5763	1370	100	5754.15	39.6	10.3
Bacillus_3;size=1	1	1370	4797	1370	100	4790.64	39.6	13.8
Bacillus_8;size=1	1	1370	9252	1370	100	9238.51	39.6	21.7
Bacillus_9;size=1	1	1370	8858	1370	100	8841.34	39.6	10.1
Escherichia_1;size=1	1	1363	3397	1363	100	3390.35	39.6	47.6
Escherichia_2;size=1	1	1363	2885	1363	100	2881.69	39.6	15.9
Escherichia_4;size=1	1	1363	2808	1363	100	2804.27	39.6	47.4
Escherichia_6;size=1	1	1363	2903	1363	100	2896.09	39.6	51
Escherichia_7;size=1	1	1363	3298	1363	100	3287.04	39.6	47
Lactobacillus_1;size=1	1	1406	7488	1406	100	7453.46	39.6	39.5
Lactobacillus_2;size=1	1	1396	7601	1396	100	7580.1	39.6	22.9
Lactobacillus_3;size=1	1	1396	14009	1396	100	13978.1	39.6	20.4
Lactobacillus_4;size=1	1	1396	11518	1396	100	11482.9	39.6	31
Lactobacillus_5;size=1	1	1396	10446	1396	100	10424.1	39.6	36.7
Listeria_1;size=1	1	1370	9780	1370	100	9746.58	39.6	15.5
Pseudomonas_1_2_3_4;size=1	1	1357	4221	1357	100	4212.98	39.6	59.9
Salmonella_7;size=1	1	1363	3587	1363	100	3579.26	39.6	52.1
Staphylococcus_2;size=1	1	1372	10923	1372	100	10906	39.6	38
Staphylococcus_3;size=1	1	1372	10264	1372	100	10246.1	39.6	27.3
