depth_bin	dataset_points	mean_dataset_recall	sd_dataset_recall	median_dataset_recall	min_dataset_recall	max_dataset_recall	zotu_observations	recovered_NM0	pooled_recall
10–<30	24	0.295618	0.114235	0.286037	0.130240	0.600000	7879	1918	0.243432
30–<100	24	0.716178	0.157678	0.704250	0.458333	1.000000	8100	5111	0.630988
100–<300	21	0.852280	0.123405	0.852273	0.553603	1.000000	5554	4217	0.759273
300–<1,000	18	0.900676	0.101532	0.897535	0.648058	1.000000	2289	1891	0.826125
≥1,000	13	0.938785	0.075295	0.955882	0.789189	1.000000	662	592	0.894260
