sample	fraction	dataset	depth_bin	zotus	recovered_NM0	recall
WWTP1_ont	0.330000	WWTP1_ont_frac0.33	30–<100	1022	672	0.657534
WWTP1_ont	0.330000	WWTP1_ont_frac0.33	100–<300	448	366	0.816964
WWTP1_ont	0.330000	WWTP1_ont_frac0.33	300–<1,000	108	100	0.925926
WWTP1_ont	0.330000	WWTP1_ont_frac0.33	≥1,000	36	36	1.000000
WWTP1_ont	1.000000	WWTP1_ont_frac1	10–<30	84	39	0.464286
WWTP1_ont	1.000000	WWTP1_ont_frac1	30–<100	619	408	0.659128
WWTP1_ont	1.000000	WWTP1_ont_frac1	100–<300	937	725	0.773746
WWTP1_ont	1.000000	WWTP1_ont_frac1	300–<1,000	455	391	0.859341
WWTP1_ont	1.000000	WWTP1_ont_frac1	≥1,000	136	130	0.955882
Zfecal1_ont	0.004000	Zfecal1_ont_frac0.004	10–<30	53	18	0.339623
Zfecal1_ont	0.004000	Zfecal1_ont_frac0.004	30–<100	7	5	0.714286
Zfecal1_ont	0.012000	Zfecal1_ont_frac0.012	10–<30	215	63	0.293023
Zfecal1_ont	0.012000	Zfecal1_ont_frac0.012	30–<100	49	42	0.857143
Zfecal1_ont	0.012000	Zfecal1_ont_frac0.012	100–<300	6	5	0.833333
Zfecal1_ont	0.037000	Zfecal1_ont_frac0.037	10–<30	414	115	0.277778
Zfecal1_ont	0.037000	Zfecal1_ont_frac0.037	30–<100	201	122	0.606965
Zfecal1_ont	0.037000	Zfecal1_ont_frac0.037	100–<300	44	40	0.909091
Zfecal1_ont	0.037000	Zfecal1_ont_frac0.037	300–<1,000	7	6	0.857143
Zfecal1_ont	0.111000	Zfecal1_ont_frac0.111	10–<30	594	124	0.208754
Zfecal1_ont	0.111000	Zfecal1_ont_frac0.111	30–<100	428	244	0.570093
Zfecal1_ont	0.111000	Zfecal1_ont_frac0.111	100–<300	165	118	0.715152
Zfecal1_ont	0.111000	Zfecal1_ont_frac0.111	300–<1,000	45	41	0.911111
Zfecal1_ont	0.111000	Zfecal1_ont_frac0.111	≥1,000	5	4	0.800000
Zfecal1_ont	0.330000	Zfecal1_ont_frac0.33	10–<30	348	78	0.224138
Zfecal1_ont	0.330000	Zfecal1_ont_frac0.33	30–<100	624	296	0.474359
Zfecal1_ont	0.330000	Zfecal1_ont_frac0.33	100–<300	393	251	0.638677
Zfecal1_ont	0.330000	Zfecal1_ont_frac0.33	300–<1,000	171	121	0.707602
Zfecal1_ont	0.330000	Zfecal1_ont_frac0.33	≥1,000	35	32	0.914286
Zfecal1_ont	1.000000	Zfecal1_ont_frac1	10–<30	55	16	0.290909
Zfecal1_ont	1.000000	Zfecal1_ont_frac1	30–<100	408	187	0.458333
Zfecal1_ont	1.000000	Zfecal1_ont_frac1	100–<300	569	315	0.553603
Zfecal1_ont	1.000000	Zfecal1_ont_frac1	300–<1,000	412	267	0.648058
Zfecal1_ont	1.000000	Zfecal1_ont_frac1	≥1,000	185	146	0.789189
