method	sample	platform	fraction	runtime_s	max_rss_gb	num_reads
savont	v1v8_zmock1	ont	111827.81160944818	47.9321	2.64978515625	111827.81160944818
savont	v1v8_zmock1	ont	1318.1911682282378	1.397	0.21564453125	1318.1911682282378
savont	v1v8_zmock1	ont	15538.424037693643	7.7786	0.582607421875	15538.424037693643
savont	v1v8_zmock1	ont	183162.06889755986	79.778	4.228310546875	183162.06889755986
savont	v1v8_zmock1	ont	2159.0570190034573	2.027	0.34623046875	2159.0570190034573
savont	v1v8_zmock1	ont	25450.286947322187	13.705	0.922294921875	25450.286947322187
savont	v1v8_zmock1	ont	300.0000000000001	0.8705	0.051923828125	300.0000000000001
savont	v1v8_zmock1	ont	300000.0000000001	164.7422	6.648759765625	300000.0000000001
savont	v1v8_zmock1	ont	3536.305904380761	2.2918	0.34728515625	3536.305904380761
savont	v1v8_zmock1	ont	41684.8648311941	14.2613	1.16025390625	41684.8648311941
savont	v1v8_zmock1	ont	491.3681120862196	1.2331	0.124560546875	491.3681120862196
savont	v1v8_zmock1	ont	5792.093186649751	3.7703	0.396591796875	5792.093186649751
savont	v1v8_zmock1	ont	68275.37778224376	32.2378	1.544736328125	68275.37778224376
savont	v1v8_zmock1	ont	804.8087385839177	1.3716	0.138046875	804.8087385839177
savont	v1v8_zmock1	ont	9486.832980505142	6.0209	0.47412109375	9486.832980505142
savont	ziels_pb_zymo	pb	11379.2296	4.5835	0.624248046875	11379.2296
savont	ziels_pb_zymo	pb	134.1348	0.9271	0.155166015625	134.1348
savont	ziels_pb_zymo	pb	1581.1388	1.5693	0.396484375	1581.1388
savont	ziels_pb_zymo	pb	18637.9686	6.3256	0.777021484375	18637.9686
savont	ziels_pb_zymo	pb	219.6985	1.1429	0.239208984375	219.6985
savont	ziels_pb_zymo	pb	2589.7373	1.9136	0.395439453125	2589.7373
savont	ziels_pb_zymo	pb	30527.0115	8.834	0.920283203125	30527.0115
savont	ziels_pb_zymo	pb	359.8428	1.1968	0.290390625	359.8428
savont	ziels_pb_zymo	pb	4241.7145	2.1533	0.412880859375	4241.7145
savont	ziels_pb_zymo	pb	50.0	1.2432	0.074013671875	50.0
savont	ziels_pb_zymo	pb	50000.0	12.3174	1.168505859375	50000.0
savont	ziels_pb_zymo	pb	589.3843	1.241	0.3569140625	589.3843
savont	ziels_pb_zymo	pb	6947.4775	2.8113	0.56421875	6947.4775
savont	ziels_pb_zymo	pb	81.8947	0.9023	0.073193359375	81.8947
savont	ziels_pb_zymo	pb	965.3489	1.677	0.381162109375	965.3489
unoise	v1v8_zmock1	ont	111827.81160944818	3.4284	0.22833984375	111827.81160944818
unoise	v1v8_zmock1	ont	1318.1911682282378	0.9688000000000001	0.0	1318.1911682282378
unoise	v1v8_zmock1	ont	15538.424037693643	0.9569	0.005546875	15538.424037693643
unoise	v1v8_zmock1	ont	183162.06889755986	4.9676	0.55509765625	183162.06889755986
unoise	v1v8_zmock1	ont	2159.0570190034573	1.9951999999999999	0.0	2159.0570190034573
unoise	v1v8_zmock1	ont	25450.286947322187	2.1621	0.11271484375	25450.286947322187
unoise	v1v8_zmock1	ont	300.0000000000001	0.6518	0.006396484375	300.0000000000001
unoise	v1v8_zmock1	ont	300000.0000000001	7.8762	0.928232421875	300000.0000000001
unoise	v1v8_zmock1	ont	3536.305904380761	1.8051000000000001	0.0	3536.305904380761
unoise	v1v8_zmock1	ont	41684.8648311941	1.4074	0.1451171875	41684.8648311941
unoise	v1v8_zmock1	ont	491.3681120862196	1.4181	0.00572265625	491.3681120862196
unoise	v1v8_zmock1	ont	5792.093186649751	1.6606	0.006923828125	5792.093186649751
unoise	v1v8_zmock1	ont	68275.37778224376	2.6039000000000003	0.1332421875	68275.37778224376
unoise	v1v8_zmock1	ont	804.8087385839177	1.6219000000000001	0.005634765625	804.8087385839177
unoise	v1v8_zmock1	ont	9486.832980505142	0.8539	0.011494140625	9486.832980505142
unoise	ziels_pb_zymo	pb	11379.2296	0.2433	0.002978515625	11379.2296
unoise	ziels_pb_zymo	pb	134.1348	0.2292	0.014404296875	134.1348
unoise	ziels_pb_zymo	pb	1581.1388	0.2247	0.012607421875	1581.1388
unoise	ziels_pb_zymo	pb	18637.9686	0.2446	0.004833984375	18637.9686
unoise	ziels_pb_zymo	pb	219.6985	0.1754	0.002978515625	219.6985
unoise	ziels_pb_zymo	pb	2589.7373	0.223	0.00302734375	2589.7373
unoise	ziels_pb_zymo	pb	30527.0115	0.2255	0.02208984375	30527.0115
unoise	ziels_pb_zymo	pb	359.8428	0.2127	0.016259765625	359.8428
unoise	ziels_pb_zymo	pb	4241.7145	0.1937	0.00326171875	4241.7145
unoise	ziels_pb_zymo	pb	50.0	0.1691	0.017314453125	50.0
unoise	ziels_pb_zymo	pb	50000.0	0.2347	0.014521484375	50000.0
unoise	ziels_pb_zymo	pb	589.3843	0.2067	0.004658203125	589.3843
unoise	ziels_pb_zymo	pb	6947.4775	0.187	0.004853515625	6947.4775
unoise	ziels_pb_zymo	pb	81.8947	0.1847	0.014853515625	81.8947
unoise	ziels_pb_zymo	pb	965.3489	0.1892	0.0047265625	965.3489
unoise_min3	v1v8_zmock1	ont	111827.81160944818	3.8787	0.22833984375	111827.81160944818
unoise_min3	v1v8_zmock1	ont	1318.1911682282378	1.0259	0.0	1318.1911682282378
unoise_min3	v1v8_zmock1	ont	15538.424037693643	2.2813	0.005546875	15538.424037693643
unoise_min3	v1v8_zmock1	ont	183162.06889755986	4.8306	0.55509765625	183162.06889755986
unoise_min3	v1v8_zmock1	ont	2159.0570190034573	1.5941999999999998	0.0	2159.0570190034573
unoise_min3	v1v8_zmock1	ont	25450.286947322187	2.0367	0.11271484375	25450.286947322187
unoise_min3	v1v8_zmock1	ont	300.0000000000001	1.7547	0.006396484375	300.0000000000001
unoise_min3	v1v8_zmock1	ont	300000.0000000001	8.2836	0.928232421875	300000.0000000001
unoise_min3	v1v8_zmock1	ont	3536.305904380761	1.7412	0.0	3536.305904380761
unoise_min3	v1v8_zmock1	ont	41684.8648311941	1.7067	0.1451171875	41684.8648311941
unoise_min3	v1v8_zmock1	ont	491.3681120862196	1.5983999999999998	0.00572265625	491.3681120862196
unoise_min3	v1v8_zmock1	ont	5792.093186649751	1.846	0.006923828125	5792.093186649751
unoise_min3	v1v8_zmock1	ont	68275.37778224376	2.3303000000000003	0.1332421875	68275.37778224376
unoise_min3	v1v8_zmock1	ont	804.8087385839177	1.0707	0.005634765625	804.8087385839177
unoise_min3	v1v8_zmock1	ont	9486.832980505142	1.9208	0.011494140625	9486.832980505142
unoise_min3	ziels_pb_zymo	pb	11379.2296	0.1955	0.00306640625	11379.2296
