usearch v12.0 [b1d935b], 791Gb RAM, 80 cores
(C) Copyright 2013-24 Robert C. Edgar.
https://drive5.com/usearch


otutab Soil1_ont_frac0.33.uniques.fa
00:00 1.2Mb .. ...  (working)
00:00 2.0Mb ... .. Loading seqs.
00:00 9.3Mb ...... Loading seqs.
00:00 5.7Mb   0.0% Masking (fastnucleo)
00:00 5.7Mb 100.0% Masking (fastnucleo)
00:00 6.6Mb   0.0% Udb seqs
00:00 6.9Mb 100.0% Udb seqs
00:00 6.9Mb   0.0% Alloc rows
00:00 6.9Mb 100.0% Alloc rows
00:00 6.9Mb   0.0% Build udb index
00:01  18Mb  39.8% Build udb index
00:01  18Mb 100.0% Build udb index
00:01  18Mb ...... Starting 20 threads
00:01  18Mb   0.0% Mapping 
00:01  90Mb 0.180% Mapping 401 OTUs, 1 samples, 1013 assigned (68.2%)
00:02  93Mb 0.453% Mapping 703 OTUs, 1 samples, 1556 assigned (56.2%)
00:02 100Mb 0.725% Mapping 930 OTUs, 1 samples, 2093 assigned (53.1%)
00:03 101Mb 0.999% Mapping 1104 OTUs, 1 samples, 2624 assigned (51.5%)
00:03 101Mb  1.28% Mapping 1254 OTUs, 1 samples, 3182 assigned (50.9%)
00:04 101Mb  1.56% Mapping 1373 OTUs, 1 samples, 3725 assigned (50.3%)
00:04 104Mb  1.84% Mapping 1479 OTUs, 1 samples, 4292 assigned (50.1%)
00:05 105Mb  2.12% Mapping 1574 OTUs, 1 samples, 4885 assigned (50.2%)
00:05 110Mb  2.40% Mapping 1653 OTUs, 1 samples, 5486 assigned (50.3%)
00:06 112Mb  2.69% Mapping 1713 OTUs, 1 samples, 6034 assigned (50.0%)
00:06 113Mb  2.97% Mapping 1773 OTUs, 1 samples, 6592 assigned (49.8%)
00:07 113Mb  3.26% Mapping 1815 OTUs, 1 samples, 7155 assigned (49.6%)
00:07 114Mb  3.54% Mapping 1852 OTUs, 1 samples, 7721 assigned (49.6%)
00:08 114Mb  3.83% Mapping 1895 OTUs, 1 samples, 8298 assigned (49.5%)
